fecha,hora,vehiculo1_tipo,vehiculo1_marca,situacion_climatica,longitud,latitud,conteo_accidentes_dia
38,1,27705,25348,1396,-100.34743,25.7401485,38
38,10,27705,25348,2269,-100.4070747,25.73963717,38
38,33,27705,25348,1396,-100.3710263,25.7282035,38
38,13,27705,25348,1396,-100.3877597,25.753216,38
38,53,27705,25348,1396,-100.3060533,25.6796948,38
38,29,27705,25348,1396,-100.3226131,25.6929509,38
38,34,27705,25348,1396,-100.3876095,25.7587616,38
38,39,27705,25348,1396,-100.3730111,25.69727243,38
38,19,27705,25348,1396,-100.2618731,25.68774473,38
38,5,27705,25348,1396,-100.3322972,25.7395438,38
38,74,27705,25348,1396,-100.3801645,25.79288088,38
38,3,27705,25348,1396,-100.3654979,25.7622755,38
38,27,27705,25348,1396,-100.317562,25.66003685,38
38,8,27705,25348,1396,-100.3971212,25.67463943,38
38,102,27705,25348,1396,-100.3709171,25.75577545,38
38,89,27705,25348,1396,-100.3548766,25.69132603,38
38,21,27705,25348,1396,-100.2818452,25.669737,38
38,31,27705,25348,1396,-100.3627125,25.71407329,38
38,55,27705,25348,1396,-100.3229536,25.68497184,38
38,34,27705,25348,1396,-100.3516575,25.68814746,38
38,28,27705,25348,1396,-100.3843369,25.77720343,38
38,31,27705,25348,1396,-100.3965582,25.76608926,38
38,27,1593,25348,1396,-100.357076,25.75786562,38
38,63,27705,25348,1396,-100.38679,25.77646852,38
38,34,27705,25348,1396,-100.3829839,25.76165489,38
38,30,27705,25348,1396,-100.2732993,25.68095366,38
38,24,27705,25348,1396,-100.3692355,25.7456564,38
38,31,27705,25348,1396,-100.3833962,25.7631424,38
38,33,27705,25348,1396,-100.2973169,25.68048048,38
38,33,27705,25348,1396,-100.3058361,25.6814264,38
38,21,27705,25348,1396,-100.34487,25.71947247,38
38,18,27705,25348,1396,-100.2894667,25.6335906,38
38,50,27705,25348,1396,-100.2884786,25.6327019,38
38,28,27705,25348,1396,-100.3638494,25.75052962,38
38,5,27705,25348,1396,-100.2924203,25.65150075,38
38,14,27705,25348,1396,-100.3458599,25.72999895,38
38,38,27705,25348,1396,-100.3600546,25.75474535,38
38,21,27705,25348,1396,-100.3686903,25.76657038,38
50,26,27705,25348,1396,-100.3095474,25.70528761,50
50,48,27705,25348,1396,-100.361249,25.7117348,50
50,33,27705,25348,1396,-100.2711108,25.61360694,50
50,16,1593,25348,1396,-100.3232731,25.68946091,50
50,32,27705,25348,1396,-100.4040338,25.75483894,50
50,24,27705,25348,1396,-100.2937352,25.62650018,50
50,20,2246,2246,1396,-100.283989,25.660157,50
50,31,27705,25348,1396,-100.3303379,25.70764911,50
50,36,27705,25348,1396,-100.2976227,25.66686409,50
50,20,27705,25348,1396,-100.2615189,25.68305915,50
50,34,2246,2246,1396,-100.3336847,25.66575239,50
50,28,1593,25348,1396,-100.3592711,25.75898452,50
50,33,27705,25348,1396,-100.3486523,25.67394875,50
50,30,27705,25348,1396,-100.3136348,25.68886329,50
50,30,27705,25348,1396,-100.3449871,25.69133472,50
50,35,27705,25348,1396,-100.3136348,25.68886329,50
50,20,27705,25348,1396,-100.3191775,25.6621528,50
50,27,1593,25348,1396,-100.3563912,25.7586009,50
50,30,27705,25348,1396,-100.3756382,25.67424468,50
50,22,2246,2246,1396,-100.3305843,25.72275576,50
50,34,27705,25348,1396,-100.3756382,25.67424468,50
50,31,27705,25348,1396,-100.3987778,25.73207191,50
50,56,27705,25348,1396,-100.3172066,25.67650068,50
50,81,27705,25348,1396,-100.3527188,25.69695417,50
50,29,27705,25348,1396,-100.3605245,25.69874572,50
50,21,27705,25348,1396,-100.3840695,25.71734357,50
50,35,27705,25348,1396,-100.380071,25.6961052,50
50,20,27705,25348,1396,-100.3515654,25.66415195,50
50,43,1593,25348,1396,-100.3180228,25.68445578,50
50,27,2246,2246,1396,-100.3512213,25.70485159,50
50,19,27705,25348,1396,-100.3843765,25.77723285,50
50,27,1593,25348,1396,-100.3516575,25.68814746,50
50,27,27705,25348,1396,-100.3458599,25.72999895,50
50,23,27705,25348,1396,-100.3131051,25.68572131,50
50,41,27705,25348,1396,-100.352066,25.68091592,50
50,35,27705,25348,1396,-100.2711108,25.61360694,50
50,23,27705,25348,1396,-100.3565468,25.69431169,50
50,22,2246,2246,1396,-100.3170185,25.72897862,50
50,31,27705,25348,1396,-100.3106968,25.68112125,50
50,24,27705,25348,1396,-100.3096701,25.7041065,50
50,94,27705,25348,1396,-100.3132459,25.6848262,50
50,23,27705,25348,1396,-100.2871766,25.67313655,50
50,38,27705,25348,1396,-100.2931152,25.68195723,50
50,62,27705,25348,1396,-100.2979199,25.65718049,50
50,19,2246,2246,1396,-100.391213,25.75158711,50
50,45,27705,25348,1396,-100.2782117,25.6544126,50
50,7,27705,25348,1396,-100.2711108,25.61360694,50
50,12,27705,25348,1396,-100.3802114,25.77334918,50
50,11,27705,25348,1396,-100.3423929,25.70472203,50
50,10,1593,25348,1396,-100.3250108,25.67561063,50
70,10,27705,25348,1396,-100.3748755,25.7843113,70
70,9,27705,25348,1396,-100.3011831,25.63137463,70
70,28,27705,25348,1396,-100.3714738,25.70150365,70
70,9,2246,2246,1396,-100.2264874,25.56438605,70
70,32,27705,25348,1396,-100.2732993,25.68095366,70
70,56,2246,2246,1396,-100.3252573,25.70726935,70
70,29,27705,25348,1396,-100.2655669,25.60068369,70
70,20,27705,25348,1396,-100.3426353,25.7250931,70
